"","Estimate","Std. Error","z value"
"edges",-0.617288497899015,0.912424020076639,-0.676536877938796
"nodeicov.age",0.00208766909394744,0.0166263520650459,0.125563869078438
"nodeocov.age",0.0112096806573512,0.0159479664655122,0.702890909734
"nodecov.tenure",0.0187380247189151,0.0172549655260417,1.08594970477542
"nodefactor.dept.2",-0.227262851541716,0.258040877174131,-0.880724224900053
"nodefactor.dept.3",0.699687050290433,0.27254029352216,2.56727928647931
"nodefactor.dept.4",0.126228485647106,0.244667950164778,0.515917534610044
"absdiff.age",-0.0203946125146016,0.0172477782566933,-1.18244867316097
"absdiff.tenure",-0.0259538780729296,0.02021699876874,-1.28376513100748
"nodematch.dept",0.388074389604643,0.266820299661266,1.45444102303052
"mutual",0.395484287962758,0.248378304400935,1.5922658338321
"gwideg.fixed.0.1",3842.03464522415,1432.91622757176,2.68126954758194
"gwesp.fixed.0.1",0.00379155492328694,0.235485156304793,0.0161010357628633
"gwdsp.fixed.0.1",-0.397707535857627,0.0745958547242139,-5.331496466231
