"","Estimate","Std. Error","Pr(>|z|)"
"edges",-1.48716200862467,0.683874908271107,0.02965926720388
"nodeicov.age",0.0142022062101578,0.0128151175925056,0.267758844198527
"nodeocov.age",0.0115700049192985,0.0128266389657719,0.367041272288914
"nodecov.tenure",-0.00206903765710407,0.0136345423654151,0.879384359396749
"nodefactor.dept.2",-0.234197873222123,0.195979160372802,0.232081494773906
"nodefactor.dept.3",0.349683846744608,0.208432959161718,0.0934095485494548
"nodefactor.dept.4",0.311190945769729,0.188713891823347,0.0991457477904387
"absdiff.age",-0.0261637207160866,0.0137465781396931,0.0570027528460331
"absdiff.tenure",-0.0385870105980883,0.0163143076363811,0.0180191130180771
"nodematch.dept",1.1221722995951,0.200883347893943,2.32106953657052e-08
